_TRI_FORM_R_BR_EZ.FACILITY_NAME,V_TRI_FORM_R_BR_EZ.CHEM_NAME,V_TRI_FORM_R_BR_EZ.REPORTING_YEAR,V_TRI_FORM_R_BR_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_OFF_SITE_RELEASE
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2018,.0000248,.0000248,0,0,0,.0000248
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2014,8484928,0,8484928,0,0,8484928
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2020,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,1996,3500,3200,300,0,0,3500
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,1997,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2008,1080,920,160,0,4831.03,5911.03
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2000,131000,131000,0,0,0,131000
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2003,1232,1192,40,0,11.935,1243.935
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),1997,853000,0,853000,0,0,853000
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2017,47204.01,47188,16.01,0,.006,47204.016
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2005,31,0,31,0,10,41
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2017,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2020,77895,62792,15103,0,0,77895
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2003,37320,37320,0,0,0,37320
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2017,0,0,0,0,14.0745991,14.0745991
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2002,.0018279,.0018279,0,0,0,.0018279
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2009,.0004088,.0004088,0,0,0,.0004088
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2003,6.7,6.7,0,0,0,6.7
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2002,1519,1422,97,0,4615.5,6134.5
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2001,1656,1301,355,0,0,1656
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2018,51954,51954,0,0,0,51954
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2009,12000000,0,12000000,0,0,12000000
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2005,7,7,0,0,0,7
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2013,94856,37000,57856,0,0,94856
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2006,3389,2789,0,600,0,3389
